time,open,high,low,close,volume
1761269963,25304.5,25304.5,25304.5,25304.5,2
1761269964,25304.5,25304.5,25304,25304,3
1761269965,25304,25304,25303.5,25303.75,19
1761269966,25303.75,25304.25,25303.75,25304.25,1
1761269967,25304.25,25304.25,25304.25,25304.25,0
1761269968,25304.25,25304.25,25303.75,25303.75,1
1761269969,25303.75,25303.75,25303.75,25303.75,1
1761269970,25303.75,25303.75,25303.75,25303.75,0
1761269971,25303.75,25304.25,25303.75,25304.25,2
1761269972,25304.25,25304.5,25304.25,25304.5,2
1761269973,25304.5,25304.5,25304,25304.5,4
1761269974,25304.5,25304.5,25304.5,25304.5,0
1761269975,25304.5,25304.5,25304.5,25304.5,0
1761269976,25304.5,25304.5,25304.5,25304.5,0
1761269977,25304.5,25304.5,25304.25,25304.5,2
1761269978,25304.5,25304.5,25303.75,25304.25,10
1761269979,25304.25,25304.75,25304.25,25304.75,2
1761269980,25304.75,25304.75,25302.5,25303,42
1761269981,25303,25303,25303,25303,0
1761269982,25303,25303,25303,25303,1
1761269983,25303,25303,25303,25303,1
1761269984,25303,25303,25303,25303,0
1761269985,25303,25303.5,25303,25303.5,2
1761269986,25303.5,25303.5,25303.25,25303.25,1
1761269987,25303.25,25303.25,25303.25,25303.25,1
1761269988,25303.25,25304,25303.25,25304,7
1761269989,25304,25304,25304,25304,0
1761269990,25304,25304,25304,25304,1
1761269991,25304,25304,25304,25304,0
1761269992,25304,25304.25,25303.75,25304.25,3
1761269993,25304.25,25304.5,25304.25,25304.5,1
1761269994,25304.5,25304.5,25304.5,25304.5,0
1761269995,25304.5,25304.5,25304,25304,1
1761269996,25304,25304,25304,25304,0
1761269997,25304,25304,25304,25304,0
1761269998,25304,25304.5,25304,25304.5,3
1761269999,25304.5,25304.5,25304,25304,8
1761270000,25304,25304.5,25304,25304.5,1
1761270001,25304.5,25304.5,25304.25,25304.25,5
1761270002,25304.25,25305,25304.25,25305,7
1761270003,25305,25305,25304.5,25304.5,1
1761270004,25304.5,25305,25304.5,25304.5,6
1761270005,25304.5,25304.75,25304.5,25304.5,17
1761270006,25304.5,25304.75,25304.5,25304.75,1
1761270007,25304.75,25304.75,25304.25,25304.25,1
1761270008,25304.25,25304.5,25304,25304,3
1761270009,25304,25304.5,25304,25304.5,2
1761270010,25304.5,25304.5,25303.75,25303.75,4
1761270011,25303.75,25304.25,25303.75,25304.25,1
1761270012,25304.25,25304.25,25304.25,25304.25,0
1761270013,25304.25,25304.25,25304.25,25304.25,0
1761270014,25304.25,25304.25,25303.5,25303.5,17
1761270015,25303.5,25303.5,25303.5,25303.5,0
1761270016,25303.5,25303.5,25301.75,25301.75,10
1761270017,25301.75,25302.25,25301.75,25302,4
1761270018,25302,25302,25302,25302,0
1761270019,25302,25302.25,25301.75,25301.75,2
1761270020,25301.75,25302.25,25301.75,25302.25,2
1761270021,25302.25,25302.75,25301.25,25301.25,16
1761270022,25301.25,25301.25,25301.25,25301.25,0
1761270023,25301.25,25301.25,25301.25,25301.25,0
1761270024,25301.25,25302,25301.25,25302,1
1761270025,25302,25302.25,25301.5,25302.25,13
1761270026,25302.25,25302.25,25302.25,25302.25,2
1761270027,25302.25,25302.25,25302.25,25302.25,2
1761270028,25302.25,25302.25,25302.25,25302.25,0
1761270029,25302.25,25302.25,25302.25,25302.25,0
1761270030,25302.25,25303.5,25302.25,25303.5,12
1761270031,25303.5,25303.5,25303.5,25303.5,3
1761270032,25303.5,25303.5,25303.5,25303.5,1
1761270033,25303.5,25303.5,25303.5,25303.5,0
1761270034,25303.5,25303.5,25303.5,25303.5,0
1761270035,25303.5,25303.75,25303.25,25303.75,3
1761270036,25303.75,25303.75,25303.25,25303.25,4
1761270037,25303.25,25303.75,25303.25,25303.75,3
1761270038,25303.75,25304.5,25303.75,25304.5,10
1761270039,25304.5,25304.75,25304.25,25304.75,5
1761270040,25304.75,25304.75,25304.75,25304.75,2
1761270041,25304.75,25305,25304.75,25305,2
1761270042,25305,25305,25305,25305,5
1761270043,25305,25305,25305,25305,0
1761270044,25305,25305,25305,25305,0
1761270045,25305,25305,25305,25305,0
1761270046,25305,25305.75,25305,25305.75,5
1761270047,25305.75,25305.75,25305.25,25305.25,9
1761270048,25305.25,25305.75,25305.25,25305.75,1
1761270049,25305.75,25305.75,25305.75,25305.75,7
1761270050,25305.75,25305.75,25305.75,25305.75,1
1761270051,25305.75,25305.75,25305.75,25305.75,0
1761270052,25305.75,25305.75,25305.5,25305.5,1
1761270053,25305.5,25305.5,25305.25,25305.25,1
1761270054,25305.25,25305.75,25305,25305.25,13
1761270055,25305.25,25305.25,25305.25,25305.25,3
1761270056,25305.25,25305.25,25305,25305,1
1761270057,25305,25305,25305,25305,1
1761270058,25305,25305.25,25305,25305,2
1761270059,25305,25305.25,25304.5,25304.5,6
1761270060,25304.5,25304.5,25304.5,25304.5,0
1761270061,25304.5,25304.75,25304.5,25304.75,1
1761270062,25304.75,25304.75,25304.75,25304.75,0
1761270063,25304.75,25304.75,25304.75,25304.75,0
1761270064,25304.75,25304.75,25304.75,25304.75,0
1761270065,25304.75,25304.75,25304.75,25304.75,0
1761270066,25304.75,25304.75,25304.75,25304.75,0
1761270067,25304.75,25304.75,25304.75,25304.75,0
1761270068,25304.75,25304.75,25304.75,25304.75,0
1761270069,25304.75,25304.75,25304.75,25304.75,0
1761270070,25304.75,25304.75,25304.75,25304.75,0
1761270071,25304.75,25304.75,25304.75,25304.75,0
1761270072,25304.75,25305,25304.75,25305,1
1761270073,25305,25305,25305,25305,1
1761270074,25305,25305,25304.5,25304.5,1
1761270075,25304.5,25304.75,25304.5,25304.75,4
1761270076,25304.75,25304.75,25304.75,25304.75,0
1761270077,25304.75,25304.75,25304.75,25304.75,0
1761270078,25304.75,25304.75,25304.75,25304.75,0
1761270079,25304.75,25305,25304.75,25305,1
1761270080,25305,25305,25305,25305,0
1761270081,25305,25305,25305,25305,0
1761270082,25305,25305,25304,25304,21
1761270083,25304,25304,25304,25304,4
1761270084,25304,25304,25304,25304,0
1761270085,25304,25304,25303.5,25303.5,2
1761270086,25303.5,25303.5,25303,25303,4
1761270087,25303,25303,25303,25303,1
