time,open,high,low,close,volume
1761736709,26271.75,26271.75,26271.75,26271.75,2
1761736710,26271.75,26271.75,26270.75,26270.75,17
1761736711,26270.75,26270.75,26270.5,26270.75,5
1761736712,26270.75,26271.25,26270.75,26271.25,4
1761736713,26271.25,26272.25,26271.25,26272.25,19
1761736714,26272.25,26272.5,26272,26272.5,6
1761736715,26272.5,26273.25,26272.5,26273.25,31
1761736716,26273.25,26274,26273,26273.75,23
1761736717,26273.75,26274.25,26273.5,26274.25,13
1761736718,26274.25,26274.75,26274.25,26274.25,18
1761736719,26274.25,26274.75,26274.25,26274.75,3
1761736720,26274.75,26275,26274.75,26275,13
1761736721,26275,26275.5,26275,26275.5,13
1761736722,26275.5,26276,26275.5,26276,13
1761736723,26276,26276,26275.25,26276,18
1761736724,26276,26276,26275.75,26276,17
1761736725,26276,26276,26275.5,26275.5,9
1761736726,26275.5,26276.25,26275.5,26276.25,4
1761736727,26276.25,26276.75,26276.25,26276.75,8
1761736728,26276.75,26276.75,26275.25,26275.25,55
1761736729,26275.25,26276.25,26275.25,26276.25,20
1761736730,26276.25,26276.25,26275,26275.5,6
1761736731,26275.5,26275.75,26275,26275.75,13
1761736732,26275.75,26276.75,26275.75,26275.75,15
1761736733,26275.75,26276.25,26275.75,26275.75,4
1761736734,26275.75,26275.75,26275.5,26275.5,5
1761736735,26275.5,26275.5,26275.5,26275.5,0
1761736736,26275.5,26276,26275.5,26276,4
1761736737,26276,26276,26275.75,26275.75,4
1761736738,26275.75,26276.75,26275.75,26276.75,11
1761736739,26276.75,26276.75,26274.75,26275,19
1761736740,26275,26275.25,26274.75,26275.25,4
1761736741,26275.25,26275.25,26274.75,26275,3
1761736742,26275,26275,26275,26275,0
1761736743,26275,26275,26274,26274.25,14
1761736744,26274.25,26274.75,26274.25,26274.5,6
1761736745,26274.5,26274.75,26274.5,26274.75,1
1761736746,26274.75,26275.25,26274.75,26275,5
1761736747,26275,26275.5,26275,26275.5,2
1761736748,26275.5,26275.5,26275.5,26275.5,0
1761736749,26275.5,26275.75,26275.5,26275.75,1
1761736750,26275.75,26275.75,26274.75,26274.75,5
1761736751,26274.75,26275.5,26274.75,26275.5,2
1761736752,26275.5,26275.5,26275.5,26275.5,0
1761736753,26275.5,26276,26275.5,26275.5,8
1761736754,26275.5,26275.5,26275.5,26275.5,0
1761736755,26275.5,26276,26275.5,26276,4
1761736756,26276,26276.75,26276,26276.25,21
1761736757,26276.25,26276.5,26276.25,26276.5,1
1761736758,26276.5,26276.75,26276.5,26276.75,2
1761736759,26276.75,26276.75,26276.75,26276.75,0
1761736760,26276.75,26276.75,26276.75,26276.75,0
1761736761,26276.75,26277,26276.5,26277,4
1761736762,26277,26277.25,26277,26277,16
1761736763,26277,26277,26276.5,26276.5,4
1761736764,26276.5,26276.5,26276.25,26276.25,6
1761736765,26276.25,26276.25,26269.25,26276.25,360
1761736766,26276.25,26276.25,26276,26276.25,2
1761736767,26276.25,26276.25,26276.25,26276.25,0
1761736768,26276.25,26276.25,26275.75,26275.75,1
1761736769,26275.75,26275.75,26275.75,26275.75,0
1761736770,26275.75,26276.25,26275.75,26275.75,3
1761736771,26275.75,26275.75,26275.75,26275.75,1
1761736772,26275.75,26276.5,26275.75,26276.5,3
1761736773,26276.5,26276.5,26276.5,26276.5,0
1761736774,26276.5,26276.5,26275,26275,7
1761736775,26275,26275.5,26275,26275,9
1761736776,26275,26275.5,26275,26275.5,1
1761736777,26275.5,26275.5,26275,26275,8
1761736778,26275,26275,26275,26275,0
1761736779,26275,26275,26274.25,26275,13
1761736780,26275,26275.5,26275,26275.5,2
1761736781,26275.5,26281.5,26275.5,26276.25,439
1761736782,26276.25,26276.25,26275.5,26275.5,4
1761736783,26275.5,26275.75,26275.5,26275.75,3
1761736784,26275.75,26275.75,26275.75,26275.75,0
1761736785,26275.75,26276.25,26275.5,26276,8
1761736786,26276,26276,26275.5,26275.75,7
1761736787,26275.75,26275.75,26275.75,26275.75,2
1761736788,26275.75,26275.75,26275.25,26275.25,1
1761736789,26275.25,26275.75,26274.75,26274.75,22
1761736790,26274.75,26276.25,26274.75,26276.25,27
1761736791,26276.25,26276.25,26275.5,26275.5,6
1761736792,26275.5,26275.5,26275.5,26275.5,5
1761736793,26275.5,26275.5,26275,26275,1
1761736794,26275,26275,26274.5,26275,6
1761736795,26275,26275.5,26274.75,26274.75,6
1761736796,26274.75,26274.75,26274.75,26274.75,0
1761736797,26274.75,26275.5,26274.75,26275.5,3
1761736798,26275.5,26275.5,26275.5,26275.5,0
1761736799,26275.5,26275.75,26275,26275.75,6
1761736800,26275.75,26276.25,26275.75,26276.25,21
1761736801,26276.25,26276.5,26276.25,26276.5,4
1761736802,26276.5,26276.75,26276.25,26276.75,9
1761736803,26276.75,26277,26276.75,26277,7
1761736804,26277,26277,26276.75,26277,5
1761736805,26277,26277,26276.25,26276.25,6
1761736806,26276.25,26276.75,26276.25,26276.75,2
1761736807,26276.75,26277,26276.75,26277,5
1761736808,26277,26277,26277,26277,3
1761736809,26277,26277.75,26277,26277.75,18
1761736810,26277.75,26279,26277.75,26278.75,47
1761736811,26278.75,26279,26278.25,26278.5,16
1761736812,26278.5,26279.75,26278.5,26279,31
1761736813,26279,26282.25,26279,26279.25,189
1761736814,26279.25,26280.25,26279.25,26279.5,33
1761736815,26279.5,26280.5,26279.25,26280.5,43
1761736816,26280.5,26280.5,26280,26280,7
1761736817,26280,26280.5,26279.75,26279.75,22
1761736818,26279.75,26280.5,26279.5,26280,13
1761736819,26280,26281,26280,26280,31
1761736820,26280,26280.5,26280,26280.25,6
1761736821,26280.25,26280.25,26279.75,26280.25,6
1761736822,26280.25,26280.25,26279.75,26280,9
1761736823,26280,26280.25,26280,26280.25,4
1761736824,26280.25,26280.25,26279.5,26280,11
1761736825,26280,26280,26280,26280,3
1761736826,26280,26280.25,26279.75,26279.75,8
1761736827,26279.75,26279.75,26279.75,26279.75,0
1761736828,26279.75,26280.25,26279.75,26280.25,3
1761736829,26280.25,26280.25,26279.25,26279.25,11
1761736830,26279.25,26280.5,26279.25,26280.5,9
1761736831,26280.5,26280.75,26280.25,26280.25,5
1761736832,26280.25,26280.5,26279.75,26280.5,5
1761736833,26280.5,26280.5,26280,26280,8
1761736834,26280,26280.25,26280,26280.25,7
1761736835,26280.25,26280.5,26279.75,26279.75,4
1761736836,26279.75,26280.25,26279.75,26280,4
1761736837,26280,26280.5,26279.5,26280.5,14
1761736838,26280.5,26280.5,26279,26279,24
1761736839,26279,26279.25,26278.25,26278.25,16
1761736840,26278.25,26278.75,26278.25,26278.5,5
1761736841,26278.5,26278.5,26278.5,26278.5,5
1761736842,26278.5,26279.25,26278.5,26279.25,27
1761736843,26279.25,26279.5,26279,26279.5,3
1761736844,26279.5,26279.5,26278.75,26279,18
1761736845,26279,26279.75,26279,26279.75,8
1761736846,26279.75,26279.75,26279.25,26279.25,5
1761736847,26279.25,26279.5,26278.75,26279,15
1761736848,26279,26279.5,26279,26279,2
1761736849,26279,26279,26278.5,26278.5,23
1761736850,26278.5,26279.25,26278.5,26278.75,18
1761736851,26278.75,26278.75,26278.5,26278.5,1
1761736852,26278.5,26278.5,26278.5,26278.5,0
1761736853,26278.5,26279.25,26278.5,26279.25,1
1761736854,26279.25,26280.25,26279.25,26280.25,18
1761736855,26280.25,26280.25,26279.5,26279.75,13
1761736856,26279.75,26280,26279.75,26279.75,29
1761736857,26279.75,26279.75,26279.75,26279.75,0
1761736858,26279.75,26280.25,26279.75,26279.75,12
1761736859,26279.75,26280.5,26279.75,26279.75,6
1761736860,26279.75,26280,26278,26278,31
1761736861,26278,26279,26278,26278.75,10
1761736862,26278.75,26278.75,26277.25,26277.75,49
1761736863,26277.75,26278,26277.5,26277.5,12
1761736864,26277.5,26277.5,26276.5,26276.5,14
1761736865,26276.5,26276.75,26276.5,26276.75,1
1761736866,26276.75,26277.5,26276.75,26277,5
1761736867,26277,26277.75,26277,26277.5,10
1761736868,26277.5,26278,26277.5,26278,3
1761736869,26278,26278,26277.5,26278,11
1761736870,26278,26278,26276.5,26276.75,27
1761736871,26276.75,26276.75,26276.5,26276.75,10
1761736872,26276.75,26276.75,26276,26276.25,10
1761736873,26276.25,26276.5,26276.25,26276.5,8
1761736874,26276.5,26276.5,26276.5,26276.5,1
1761736875,26276.5,26276.5,26276.5,26276.5,0
1761736876,26276.5,26276.5,26276,26276,2
1761736877,26276,26276,26275.5,26275.5,10
1761736878,26275.5,26275.75,26275.5,26275.5,6
1761736879,26275.5,26275.75,26275.5,26275.75,4
1761736880,26275.75,26276,26275,26276,13
1761736881,26276,26276,26275.75,26275.75,1
1761736882,26275.75,26276,26275.75,26276,4
1761736883,26276,26276,26275.75,26275.75,1
1761736884,26275.75,26275.75,26275.5,26275.5,8
1761736885,26275.5,26276,26275.5,26275.75,4
1761736886,26275.75,26276.75,26275.75,26276.75,18
1761736887,26276.75,26277.25,26276,26276,17
1761736888,26276,26276.5,26275.75,26275.75,8
1761736889,26275.75,26276,26275.5,26275.5,3
1761736890,26275.5,26275.5,26275.25,26275.25,2
1761736891,26275.25,26275.25,26275.25,26275.25,0
1761736892,26275.25,26275.75,26275.25,26275.75,8
1761736893,26275.75,26275.75,26275.75,26275.75,1
1761736894,26275.75,26275.75,26274.5,26275.25,12
