time,open,high,low,close,volume
1761142566,25217.5,25218.25,25216.75,25218.25,43
1761142567,25218.25,25220.5,25215.25,25215.5,164
1761142568,25215.5,25219.5,25215,25219.5,158
1761142569,25219.5,25220,25217.5,25218.5,136
1761142570,25218.5,25219.75,25218.5,25219.5,56
1761142571,25219.5,25219.5,25216.75,25217,89
1761142572,25217,25218.75,25216.75,25216.75,63
1761142573,25216.75,25219.5,25216.5,25218.5,99
1761142574,25218.5,25220,25217.25,25219.5,135
1761142575,25219.5,25220,25217.25,25217.75,96
1761142576,25217.75,25218.25,25216.25,25217.5,93
1761142577,25217.5,25220,25217.5,25219.75,36
1761142578,25219.75,25220.5,25219,25219.5,114
1761142579,25219.5,25221,25219,25220.75,106
1761142580,25220.75,25221.5,25219.75,25221.5,73
1761142581,25221.5,25223,25221.5,25222.75,139
1761142582,25222.75,25225.25,25222.5,25223.5,287
1761142583,25223.5,25225.25,25222.75,25225,180
1761142584,25225,25226,25224.25,25226,182
1761142585,25226,25226,25223.5,25224,244
1761142586,25224,25227.75,25223.75,25227,262
1761142587,25227,25230.25,25227,25229.25,283
1761142588,25229.25,25231.25,25229.25,25230,175
1761142589,25230,25230,25227.25,25228,174
1761142590,25228,25228.5,25224.25,25225,204
1761142591,25225,25225.5,25223.25,25223.25,78
1761142592,25223.25,25223.5,25220.75,25222.25,171
1761142593,25222.25,25222.5,25220.25,25221.5,88
1761142594,25221.5,25222.5,25221.25,25221.75,82
1761142595,25221.75,25221.75,25219.75,25220.75,42
1761142596,25220.75,25223,25220.5,25222,81
1761142597,25222,25225.5,25221.75,25225.25,109
1761142598,25225.25,25226.75,25224.75,25226.75,69
1761142599,25226.75,25227.25,25225.25,25226.25,106
1761142600,25226.25,25226.5,25222.5,25224,123
1761142601,25224,25224.25,25223,25223,29
1761142602,25223,25225.5,25223,25225.5,55
1761142603,25225.5,25226,25224.5,25225.75,45
1761142604,25225.75,25226,25224.5,25225.5,29
1761142605,25225.5,25227.25,25225.5,25226.75,39
1761142606,25226.75,25227.25,25224.75,25224.75,47
1761142607,25224.75,25225,25222.25,25222.75,115
1761142608,25222.75,25224.5,25222.75,25224.25,57
1761142609,25224.25,25224.25,25223,25223,44
1761142610,25223,25223.75,25222.25,25222.25,67
1761142611,25222.25,25222.5,25220.75,25222,56
1761142612,25222,25223.5,25222,25223.5,52
1761142613,25223.5,25224,25222.5,25223,32
1761142614,25223,25224,25222.75,25223.75,13
1761142615,25223.75,25223.75,25222.5,25222.5,38
1761142616,25222.5,25224,25222.25,25224,34
1761142617,25224,25225.25,25224,25224.25,40
1761142618,25224.25,25226,25224.25,25226,95
1761142619,25226,25226,25225,25225.5,16
1761142620,25225.5,25227.5,25223.5,25227.5,93
1761142621,25227.5,25228,25225.75,25226,83
1761142622,25226,25226.25,25224.25,25226,37
1761142623,25226,25227.75,25226,25226.75,56
1761142624,25226.75,25227.5,25226.25,25227.5,59
1761142625,25227.5,25228,25226.5,25228,48
1761142626,25228,25228.25,25226.5,25228,74
1761142627,25228,25228.5,25227.25,25228.25,42
1761142628,25228.25,25228.5,25227,25227.5,79
1761142629,25227.5,25229.5,25227,25229.5,63
1761142630,25229.5,25230.25,25228.5,25229,82
1761142631,25229,25230,25228,25229,81
1761142632,25229,25229.75,25228.25,25229.5,52
1761142633,25229.5,25229.5,25226,25227.75,85
1761142634,25227.75,25228.75,25227.5,25227.5,42
1761142635,25227.5,25227.5,25224.25,25225.5,76
1761142636,25225.5,25226.5,25225,25225.75,43
1761142637,25225.75,25226,25222.25,25225.25,129
1761142638,25225.25,25225.5,25223.75,25224.75,47
1761142639,25224.75,25225,25223,25223,55
1761142640,25223,25226,25223,25226,45
1761142641,25226,25227.5,25225,25227.5,42
1761142642,25227.5,25229,25227.25,25228.5,82
1761142643,25228.5,25229.5,25228,25228,68
1761142644,25228,25230,25228,25229.75,91
1761142645,25229.75,25230.5,25229.25,25230,57
1761142646,25230,25230.75,25228.75,25229.5,28
1761142647,25229.5,25231,25229.5,25230.75,34
1761142648,25230.75,25232,25229.75,25231,192
1761142649,25231,25231,25229.25,25230.25,127
1761142650,25230.25,25230.25,25228,25228.5,61
1761142651,25228.5,25229.5,25227,25227,37
1761142652,25227,25227.75,25225.25,25227,69
1761142653,25227,25227,25225.5,25226,40
1761142654,25226,25226.75,25225.25,25226.5,48
1761142655,25226.5,25226.5,25223.5,25223.5,65
1761142656,25223.5,25226.75,25223.5,25226.75,41
1761142657,25226.75,25227.25,25226.25,25226.5,22
