time,open,high,low,close,volume
1761165286,25036.75,25037,25036.25,25036.25,6
1761165288,25036.25,25036.25,25036.25,25036.25,0
1761165289,25036.25,25037,25036.25,25036.25,6
1761165290,25036.25,25036.25,25036.25,25036.25,0
1761165291,25036.25,25036.25,25036.25,25036.25,0
1761165292,25036.25,25037.25,25036.25,25037.25,18
1761165293,25037.25,25037.25,25036.75,25036.75,2
1761165294,25036.75,25036.75,25036.75,25036.75,0
1761165295,25036.75,25036.75,25036.75,25036.75,0
1761165296,25036.75,25036.75,25036.75,25036.75,0
1761165297,25036.75,25037.75,25036,25036.25,19
1761165298,25036.25,25036.25,25035,25035.5,12
1761165299,25035.5,25037,25035.25,25037,17
1761165300,25037,25037,25036.5,25036.5,2
1761165301,25036.5,25036.5,25036,25036,3
1761165302,25036,25036,25035.75,25035.75,7
1761165303,25035.75,25036,25035.75,25036,1
1761165304,25036,25036,25035.75,25035.75,1
1761165305,25035.75,25036.25,25035.75,25036.25,1
1761165306,25036.25,25036.25,25036.25,25036.25,0
1761165307,25036.25,25036.25,25036.25,25036.25,0
1761165308,25036.25,25036.25,25036.25,25036.25,0
1761165309,25036.25,25036.75,25036.25,25036.75,2
1761165310,25036.75,25036.75,25036.75,25036.75,0
1761165311,25036.75,25036.75,25036.75,25036.75,0
1761165312,25036.75,25036.75,25036.25,25036.25,1
1761165313,25036.25,25036.25,25035.75,25035.75,2
1761165314,25035.75,25036.5,25035.75,25036.5,3
1761165315,25036.5,25036.5,25036.5,25036.5,1
1761165316,25036.5,25036.5,25036.5,25036.5,0
1761165317,25036.5,25036.5,25036.25,25036.25,4
1761165318,25036.25,25036.25,25036.25,25036.25,0
1761165319,25036.25,25036.25,25036,25036,4
1761165320,25036,25036.5,25036,25036.5,5
1761165321,25036.5,25036.5,25036.5,25036.5,2
1761165322,25036.5,25037.25,25036.5,25037.25,4
1761165323,25037.25,25038.25,25037.25,25038,6
1761165324,25038,25038.5,25037.75,25038.5,21
1761165325,25038.5,25038.5,25038,25038,2
1761165326,25038,25038,25038,25038,0
1761165327,25038,25038.5,25038,25038.5,3
1761165328,25038.5,25038.5,25037.75,25037.75,2
1761165329,25037.75,25037.75,25037.75,25037.75,1
1761165330,25037.75,25038.5,25037.75,25038.5,5
1761165331,25038.5,25038.75,25037.75,25038,12
1761165332,25038,25038,25038,25038,0
1761165333,25038,25038,25037.5,25037.5,2
1761165334,25037.5,25037.5,25037.5,25037.5,0
1761165335,25037.5,25037.75,25037,25037.25,7
1761165336,25037.25,25037.25,25036.25,25036.25,13
1761165337,25036.25,25037.5,25035,25035,43
1761165338,25035,25035.75,25035,25035.75,4
1761165339,25035.75,25036,25035.75,25035.75,6
1761165340,25035.75,25035.75,25035.75,25035.75,0
1761165341,25035.75,25035.75,25035.75,25035.75,0
1761165342,25035.75,25036.25,25035.75,25035.75,11
1761165343,25035.75,25035.75,25035.75,25035.75,0
1761165344,25035.75,25035.75,25035.75,25035.75,0
1761165345,25035.75,25035.75,25035.5,25035.75,3
1761165346,25035.75,25036.25,25035.75,25036.25,5
1761165347,25036.25,25036.25,25036.25,25036.25,0
1761165348,25036.25,25036.25,25036,25036,1
1761165349,25036,25036,25036,25036,0
1761165350,25036,25036.25,25035.75,25036.25,14
1761165351,25036.25,25036.25,25036.25,25036.25,0
1761165352,25036.25,25036.25,25036.25,25036.25,1
1761165353,25036.25,25036.25,25035.5,25036,2
1761165354,25036,25036,25036,25036,0
1761165355,25036,25036,25036,25036,1
1761165356,25036,25036,25035.25,25035.5,5
1761165357,25035.5,25035.5,25034.5,25034.5,11
1761165358,25034.5,25034.5,25033.25,25033.75,12
1761165359,25033.75,25034.5,25033.25,25034,26
1761165360,25034,25034.5,25033.75,25034.5,39
1761165361,25034.5,25034.5,25034,25034,1
1761165362,25034,25034.25,25034,25034.25,3
1761165363,25034.25,25034.25,25034.25,25034.25,0
1761165364,25034.25,25034.25,25033.75,25033.75,3
1761165365,25033.75,25033.75,25033.5,25033.5,1
1761165366,25033.5,25033.5,25032.25,25032.25,21
1761165367,25032.25,25033.25,25031.5,25033.25,11
1761165368,25033.25,25033.25,25032.5,25032.5,5
1761165369,25032.5,25032.5,25032.25,25032.25,1
1761165370,25032.25,25032.5,25031.75,25032.5,3
1761165371,25032.5,25032.75,25032.25,25032.5,5
1761165372,25032.5,25032.5,25031.75,25031.75,5
1761165373,25031.75,25032.5,25031.75,25032.5,2
1761165374,25032.5,25032.75,25032.5,25032.75,2
1761165375,25032.75,25032.75,25032.25,25032.25,1
1761165376,25032.25,25033,25032.25,25033,3
1761165377,25033,25033.25,25033,25033.25,6
1761165378,25033.25,25034.5,25033,25034.25,13
1761165379,25034.25,25034.25,25033.25,25033.25,2
1761165380,25033.25,25033.75,25033.25,25033.5,5
1761165381,25033.5,25034,25033.5,25034,1
1761165382,25034,25035,25034,25035,18
1761165383,25035,25035,25034.25,25034.25,9
1761165384,25034.25,25034.5,25034,25034.5,20
1761165385,25034.5,25034.5,25034.5,25034.5,0
1761165386,25034.5,25034.5,25033.75,25034,5
1761165387,25034,25034,25034,25034,0
1761165388,25034,25034,25033.75,25033.75,1
1761165389,25033.75,25035,25033.75,25035,9
1761165390,25035,25035.75,25034.25,25034.25,21
1761165391,25034.25,25034.25,25034.25,25034.25,0
1761165392,25034.25,25034.75,25034,25034.5,8
1761165393,25034.5,25034.5,25034,25034,5
1761165394,25034,25035,25034,25035,1
1761165395,25035,25035,25035,25035,0
1761165396,25035,25035,25034,25034,8
1761165397,25034,25034,25033.5,25033.75,4
1761165398,25033.75,25033.75,25033.25,25033.25,2
1761165399,25033.25,25033.25,25033.25,25033.25,0
1761165400,25033.25,25033.5,25033,25033,2
1761165401,25033,25033,25033,25033,6
1761165402,25033,25033,25032.75,25032.75,1
1761165403,25032.75,25032.75,25031.75,25031.75,5
1761165404,25031.75,25032.75,25031.75,25032.5,13
1761165405,25032.5,25033.5,25032.5,25033.5,4
1761165406,25033.5,25033.5,25033.5,25033.5,2
1761165407,25033.5,25034,25033.5,25034,1
1761165408,25034,25034,25033.75,25033.75,9
1761165409,25033.75,25033.75,25033.75,25033.75,0
1761165410,25033.75,25033.75,25033.75,25033.75,0
1761165411,25033.75,25034.25,25033.75,25034.25,4
1761165412,25034.25,25034.25,25034,25034,1
1761165413,25034,25034,25033.75,25033.75,5
1761165414,25033.75,25033.75,25033.75,25033.75,0
1761165415,25033.75,25034,25033.5,25034,6
1761165416,25034,25034.25,25034,25034.25,2
1761165417,25034.25,25034.25,25034,25034,1
1761165418,25034,25034,25034,25034,0
1761165419,25034,25034.75,25034,25034,6
1761165420,25034,25034.5,25034,25034.5,1
1761165421,25034.5,25035.5,25034.5,25035.25,11
1761165422,25035.25,25035.5,25035,25035.5,3
1761165423,25035.5,25035.5,25035.25,25035.25,3
1761165424,25035.25,25035.75,25035.25,25035.75,1
1761165425,25035.75,25035.75,25035.75,25035.75,0
1761165426,25035.75,25035.75,25035.75,25035.75,0
1761165427,25035.75,25035.75,25035.75,25035.75,0
1761165428,25035.75,25035.75,25035.75,25035.75,0
1761165429,25035.75,25035.75,25035.75,25035.75,0
1761165430,25035.75,25036,25035.75,25036,9
1761165431,25036,25036.25,25035.75,25036,12
1761165432,25036,25036.25,25035.75,25036.25,4
1761165433,25036.25,25036.25,25035.25,25035.5,5
1761165434,25035.5,25035.5,25035.25,25035.25,1
1761165435,25035.25,25035.5,25035.25,25035.25,2
1761165436,25035.25,25035.5,25035.25,25035.5,1
1761165437,25035.5,25036,25035.5,25036,3
1761165438,25036,25036,25036,25036,0
1761165439,25036,25036,25035.5,25035.5,9
1761165440,25035.5,25035.75,25035.25,25035.75,2
1761165441,25035.75,25035.75,25035.75,25035.75,0
1761165442,25035.75,25035.75,25035.5,25035.5,2
1761165443,25035.5,25035.5,25035.5,25035.5,0
1761165444,25035.5,25037.25,25035.5,25037.25,6
1761165445,25037.25,25037.75,25037.25,25037.5,7
1761165446,25037.5,25037.5,25037.5,25037.5,0
1761165447,25037.5,25037.75,25037.5,25037.75,1
1761165448,25037.75,25037.75,25037.75,25037.75,2
1761165449,25037.75,25038.25,25037.75,25038.25,5
1761165450,25038.25,25038.25,25037.75,25037.75,3
1761165451,25037.75,25038,25037.75,25038,8
1761165452,25038,25038.25,25037.25,25038.25,6
1761165453,25038.25,25038.25,25038,25038,1
1761165454,25038,25038.25,25038,25038.25,1
1761165455,25038.25,25038.25,25037.25,25037.25,15
1761165456,25037.25,25038.25,25037.25,25038.25,3
1761165457,25038.25,25038.25,25037.75,25038.25,2
1761165458,25038.25,25038.25,25038.25,25038.25,0
1761165459,25038.25,25038.25,25037.75,25037.75,1
1761165460,25037.75,25037.75,25037.75,25037.75,0
1761165461,25037.75,25037.75,25037.75,25037.75,2
1761165462,25037.75,25037.75,25037.75,25037.75,0
1761165463,25037.75,25037.75,25037.75,25037.75,0
1761165464,25037.75,25037.75,25037.5,25037.5,3
1761165465,25037.5,25037.5,25037.5,25037.5,0
1761165466,25037.5,25037.5,25037.5,25037.5,0
1761165467,25037.5,25038,25037.5,25038,1
1761165468,25038,25038.25,25038,25038.25,3
1761165469,25038.25,25038.25,25038,25038.25,3
1761165470,25038.25,25038.25,25038.25,25038.25,0
1761165471,25038.25,25038.25,25037.75,25038,3
1761165472,25038,25038.25,25037.75,25038.25,8
1761165473,25038.25,25039.5,25037.75,25039.25,44
1761165474,25039.25,25039.75,25039.25,25039.75,4
1761165475,25039.75,25040,25039.25,25039.75,6
1761165476,25039.75,25039.75,25039.25,25039.25,1
1761165477,25039.25,25039.25,25039.25,25039.25,0
1761165478,25039.25,25039.25,25039.25,25039.25,0
1761165479,25039.25,25039.25,25039.25,25039.25,0
1761165480,25039.25,25040,25039.25,25040,6
1761165481,25040,25040.25,25039,25040.25,32
