time,open,high,low,close,volume
1761619232,25968.75,25969.25,25968.75,25969.25,16
1761619235,25969.25,25970,25969.25,25970,2
1761619236,25970,25970,25970,25970,0
1761619237,25970,25970,25970,25970,0
1761619238,25970,25970,25970,25970,0
1761619239,25970,25970,25969.5,25969.5,2
1761619240,25969.5,25969.75,25969.5,25969.75,1
1761619241,25969.75,25969.75,25969.75,25969.75,0
1761619242,25969.75,25969.75,25969.75,25969.75,0
1761619243,25969.75,25969.75,25969.75,25969.75,0
1761619244,25969.75,25969.75,25969,25969,4
1761619245,25969,25970.5,25969,25970.5,27
1761619246,25970.5,25971.25,25970.25,25971.25,6
1761619247,25971.25,25971.25,25971.25,25971.25,2
1761619248,25971.25,25971.25,25971.25,25971.25,0
1761619249,25971.25,25971.5,25971.25,25971.25,11
1761619250,25971.25,25971.25,25970.75,25970.75,1
1761619251,25970.75,25970.75,25969.5,25969.5,6
1761619252,25969.5,25969.75,25969.5,25969.75,1
1761619253,25969.75,25970.25,25969.75,25970.25,1
1761619254,25970.25,25970.25,25970.25,25970.25,0
1761619255,25970.25,25970.75,25970.25,25970.75,2
1761619256,25970.75,25970.75,25970.75,25970.75,0
1761619257,25970.75,25971,25970.75,25970.75,9
1761619258,25970.75,25971,25970.75,25970.75,2
1761619259,25970.75,25970.75,25970.75,25970.75,0
1761619260,25970.75,25970.75,25970.75,25970.75,0
1761619261,25970.75,25970.75,25970.75,25970.75,0
1761619262,25970.75,25970.75,25970.75,25970.75,0
1761619263,25970.75,25970.75,25970.75,25970.75,0
1761619264,25970.75,25970.75,25969.5,25969.75,12
1761619265,25969.75,25969.75,25969,25969.75,3
1761619266,25969.75,25969.75,25969.75,25969.75,0
1761619267,25969.75,25969.75,25969.75,25969.75,0
1761619268,25969.75,25969.75,25969.75,25969.75,2
1761619269,25969.75,25969.75,25969,25969.25,6
1761619270,25969.25,25969.25,25968.75,25969,3
1761619271,25969,25969,25968.75,25968.75,3
1761619272,25968.75,25968.75,25968.75,25968.75,0
1761619273,25968.75,25968.75,25968.75,25968.75,0
1761619274,25968.75,25969,25968.75,25969,2
1761619275,25969,25969.25,25969,25969,6
1761619277,25969,25969,25969,25969,0
1761619278,25969,25969,25969,25969,0
1761619279,25969,25969.25,25969,25969.25,1
1761619280,25969.25,25969.75,25969.25,25969.75,3
1761619281,25969.75,25969.75,25969,25969,6
1761619282,25969,25969,25969,25969,0
1761619283,25969,25969,25969,25969,0
1761619284,25969,25969,25969,25969,0
1761619285,25969,25969,25969,25969,0
1761619286,25969,25969,25969,25969,0
1761619287,25969,25969,25969,25969,0
1761619288,25969,25969.5,25969,25969.5,1
1761619289,25969.5,25969.5,25969.5,25969.5,0
1761619290,25969.5,25969.75,25969.5,25969.75,1
1761619291,25969.75,25969.75,25969.75,25969.75,0
1761619292,25969.75,25969.75,25969.75,25969.75,0
1761619293,25969.75,25969.75,25969.75,25969.75,0
1761619294,25969.75,25969.75,25968.75,25968.75,19
1761619295,25968.75,25969.25,25968.75,25969.25,1
1761619296,25969.25,25969.25,25969.25,25969.25,1
1761619297,25969.25,25969.25,25969.25,25969.25,0
1761619298,25969.25,25969.25,25969.25,25969.25,0
1761619299,25969.25,25969.75,25969,25969.75,9
1761619300,25969.75,25969.75,25969.5,25969.5,1
1761619301,25969.5,25969.5,25969.5,25969.5,0
1761619302,25969.5,25969.5,25969.5,25969.5,0
1761619303,25969.5,25969.5,25969.5,25969.5,0
1761619304,25969.5,25969.5,25969.5,25969.5,0
1761619305,25969.5,25969.5,25969.5,25969.5,3
1761619306,25969.5,25969.5,25969.5,25969.5,0
1761619307,25969.5,25969.5,25969.5,25969.5,0
1761619308,25969.5,25969.5,25969.5,25969.5,0
1761619309,25969.5,25969.5,25969.5,25969.5,0
1761619310,25969.5,25969.75,25969.5,25969.75,1
1761619311,25969.75,25969.75,25969.25,25969.25,2
1761619312,25969.25,25969.25,25969.25,25969.25,0
1761619313,25969.25,25969.25,25969.25,25969.25,0
1761619314,25969.25,25969.25,25969.25,25969.25,6
1761619315,25969.25,25969.25,25969.25,25969.25,0
1761619316,25969.25,25969.25,25969.25,25969.25,0
1761619317,25969.25,25969.25,25969.25,25969.25,0
1761619318,25969.25,25969.75,25969.25,25969.75,5
1761619319,25969.75,25970,25969.75,25970,3
1761619320,25970,25970,25969.5,25969.5,5
1761619321,25969.5,25969.5,25969.5,25969.5,0
1761619322,25969.5,25969.5,25969.5,25969.5,0
1761619323,25969.5,25969.5,25969.25,25969.5,23
1761619324,25969.5,25969.5,25969.5,25969.5,2
1761619325,25969.5,25969.5,25969.5,25969.5,0
1761619326,25969.5,25969.5,25969.25,25969.25,3
