1761527319,25716,25716,25716,25716,0
1761527320,25716,25716,25716,25716,0
1761527321,25716,25716,25715.75,25715.75,3
1761527322,25715.75,25716.25,25715.5,25715.75,18
1761527323,25715.75,25716,25715.5,25715.5,3
1761527324,25715.5,25715.5,25715.5,25715.5,1
1761527325,25715.5,25715.75,25715.5,25715.75,2
1761527326,25715.75,25715.75,25715.25,25715.25,1
1761527327,25715.25,25716,25715.25,25716,2
1761527328,25716,25716,25716,25716,0
1761527329,25716,25716,25715.75,25715.75,1
1761527330,25715.75,25715.75,25715.25,25715.25,2
1761527331,25715.25,25715.5,25715.25,25715.5,2
1761527332,25715.5,25715.5,25715.5,25715.5,0
1761527333,25715.5,25715.5,25714.75,25715.5,16
1761527334,25715.5,25715.5,25715.5,25715.5,0
1761527335,25715.5,25715.5,25714.75,25714.75,1
1761527336,25714.75,25714.75,25714.25,25714.25,13
1761527337,25714.25,25714.25,25714,25714,2
1761527338,25714,25714.75,25714,25714.75,6
1761527339,25714.75,25714.75,25714.75,25714.75,0
1761527340,25714.75,25714.75,25714.25,25714.25,9
1761527341,25714.25,25714.75,25714.25,25714.75,2
1761527342,25714.75,25714.75,25714.5,25714.5,6
1761527343,25714.5,25714.5,25714.5,25714.5,0
1761527344,25714.5,25715,25714.5,25715,2
1761527345,25715,25715.5,25715,25715.5,3
1761527346,25715.5,25715.5,25714.75,25715,4
1761527347,25715,25715,25714.75,25714.75,1
1761527348,25714.75,25714.75,25714.75,25714.75,0
1761527349,25714.75,25715.25,25714.75,25715.25,2
1761527350,25715.25,25715.25,25714.5,25715,3
1761527351,25715,25715,25715,25715,0
1761527352,25715,25715.5,25714.75,25715.25,17
1761527353,25715.25,25715.25,25715,25715,2
1761527354,25715,25715,25715,25715,0
1761527355,25715,25715,25715,25715,1
1761527356,25715,25715,25715,25715,0
1761527357,25715,25715.25,25715,25715.25,2
1761527358,25715.25,25715.25,25715.25,25715.25,0
1761527359,25715.25,25715.75,25715.25,25715.75,5
1761527360,25715.75,25715.75,25715.25,25715.25,2
1761527361,25715.25,25715.25,25715.25,25715.25,0
1761527362,25715.25,25715.25,25715.25,25715.25,0
1761527363,25715.25,25715.25,25715,25715.25,15
1761527364,25715.25,25715.5,25715,25715,5
1761527365,25715,25715.5,25715,25715.5,2
1761527366,25715.5,25715.5,25715,25715.5,4
1761527367,25715.5,25715.5,25715.5,25715.5,0
1761527368,25715.5,25715.5,25715,25715,1
1761527369,25715,25715,25715,25715,0
1761527370,25715,25715.25,25715,25715.25,6
1761527371,25715.25,25715.5,25715.25,25715.5,1
1761527372,25715.5,25716,25715.5,25716,11
1761527373,25716,25716,25716,25716,0
1761527374,25716,25716,25714.5,25715,13
1761527375,25715,25715.25,25715,25715,6
1761527376,25715,25715,25715,25715,0
1761527377,25715,25715,25714.75,25714.75,1
1761527378,25714.75,25715,25714.5,25714.5,3
1761527379,25714.5,25715,25714.5,25714.5,3
1761527380,25714.5,25714.75,25714.5,25714.5,2
1761527381,25714.5,25714.5,25714.5,25714.5,0
1761527382,25714.5,25715,25714.5,25714.5,2
1761527383,25714.5,25714.5,25714.5,25714.5,0
1761527384,25714.5,25714.5,25714,25714,19
1761527385,25714,25715.5,25714,25715,3
1761527386,25715,25715,25715,25715,0
1761527387,25715,25716,25715,25715.75,4
1761527388,25715.75,25716.25,25715.75,25716.25,4
1761527389,25716.25,25716.5,25716.25,25716.25,2
1761527390,25716.25,25717,25716.25,25716.5,14
1761527391,25716.5,25716.75,25716.5,25716.75,4
1761527392,25716.75,25716.75,25716.25,25716.5,2
1761527393,25716.5,25716.5,25716.5,25716.5,1
